,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.15738932,27.64411076,0.92091617,0.02788224,50
Best_LPIPS,0.15746053,27.63936458,0.92092513,0.02782922,49
Best_MS-SSIM,0.15746053,27.63936458,0.92092513,0.02782922,49
Best_bpp,0.14887831,26.30793658,0.9107942,0.04542923,4
