,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.13939073,26.86856983,0.91374189,0.03538539,9
Best_LPIPS,0.13939073,26.86856983,0.91374189,0.03538539,9
Best_MS-SSIM,0.13939073,26.86856983,0.91374189,0.03538539,9
Best_bpp,0.13661702,26.54529401,0.90947246,0.03947995,5
