,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.16069878,27.5492579,0.92140706,0.02924369,49
Best_LPIPS,0.16069878,27.5492579,0.92140706,0.02924369,49
Best_MS-SSIM,0.16139391,27.52363082,0.92161366,0.02954378,47
Best_bpp,0.15368652,27.00135605,0.9149013,0.03571559,26
