,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.14739651,24.15720079,0.88486068,0.0624253,2
Best_LPIPS,0.14739651,24.15720079,0.88486068,0.0624253,2
Best_MS-SSIM,0.14739651,24.15720079,0.88486068,0.0624253,2
Best_bpp,0.13968235,20.21633146,0.7945672,0.15039017,16
