,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.12950982,25.54873513,0.88852721,0.03100657,49
Best_LPIPS,0.12964206,25.54693339,0.888498,0.03086916,47
Best_MS-SSIM,0.12979126,25.53948097,0.888581,0.03103433,48
Best_bpp,0.12576633,24.67046543,0.87803559,0.04466537,10
