,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.05485704,22.5642892,0.78851993,0.05219885,50
Best_LPIPS,0.05485704,22.5642892,0.78851993,0.05219885,50
Best_MS-SSIM,0.05487061,22.56325531,0.78856388,0.05221381,49
Best_bpp,0.04991659,20.79410583,0.72357318,0.0960276,2
