,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.11322021,22.4796825,0.82999037,0.05433378,6
Best_LPIPS,0.11322021,22.4796825,0.82999037,0.05433378,6
Best_MS-SSIM,0.11322021,22.4796825,0.82999037,0.05433378,6
Best_bpp,0.11272515,22.15508817,0.81813751,0.05889204,4
