,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.1348131,25.97974075,0.90515419,0.04422604,3
Best_LPIPS,0.1348131,25.97974075,0.90515419,0.04422604,3
Best_MS-SSIM,0.1348131,25.97974075,0.90515419,0.04422604,3
Best_bpp,0.1348131,25.97974075,0.90515419,0.04422604,3
