,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.12872654,25.30656095,0.88561645,0.03619233,39
Best_LPIPS,0.12872654,25.30656095,0.88561645,0.03619233,39
Best_MS-SSIM,0.12939453,25.2168344,0.88675312,0.03788129,29
Best_bpp,0.1270718,25.00191908,0.88245378,0.04023332,22
