,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.01879883,21.43530523,0.69897038,0.14113578,50
Best_LPIPS,0.01879883,21.43530523,0.69897038,0.14113578,50
Best_MS-SSIM,0.01879883,21.43530523,0.69897038,0.14113578,50
Best_bpp,0.00889418,19.69086097,0.60453873,0.29093852,2
