,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.13191393,25.58634836,0.89907066,0.05123167,4
Best_LPIPS,0.13191393,25.58634836,0.89907066,0.05123167,4
Best_MS-SSIM,0.13191393,25.58634836,0.89907066,0.05123167,4
Best_bpp,0.10559082,18.56423815,0.7019585,0.22728429,41
