,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.13907199,27.22218673,0.91529078,0.02807691,25
Best_LPIPS,0.13907199,27.22218673,0.91529078,0.02807691,25
Best_MS-SSIM,0.13936022,27.20715012,0.91538034,0.02836148,22
Best_bpp,0.13596937,26.68641361,0.9099446,0.0352309,7
