,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.11357625,21.33374024,0.81724851,0.03044939,50
Best_LPIPS,0.11358303,21.32916292,0.81719596,0.03042579,49
Best_MS-SSIM,0.11357625,21.33374024,0.81724851,0.03044939,50
Best_bpp,0.09928725,19.63371862,0.75769862,0.05274953,4
