,bpp,PSNR,MS-SSIM,LPIPS,epoch
Best_PSNR,0.13814629,26.88060119,0.91317708,0.03406932,12
Best_LPIPS,0.13853624,26.8305264,0.91342847,0.03369415,11
Best_MS-SSIM,0.13971965,26.71996261,0.91345794,0.0358101,8
Best_bpp,0.13663398,26.22762163,0.90975026,0.04109658,3
